act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
22.0,Rochester,14618,81.0,28750.0,NY,145,3.6,2.1,33120,,St. John Fisher College,private,Saint John Fisher College,1,2,0.6453,2724.0,0.8399,0.0374,0.0463,0.0341,0.0026,0.0004,0.0198,0.0022,0.0173,0.0404,45299.0,33120.0,33120.0,20328.0,11411.0,9216.0,1.0,27023.0,481.0,1158.0
21.0,Chicago,60607,31.0,39033.0,IL,145,3.3,3.0,27672,2.8,University of Illinois--Chicago,public,University of Illinois Chicago,1,3,0.7708,19106.0,0.3008,0.0798,0.3305,0.2175,0.0006,0.0008,0.0299,0.0346,0.0054,0.0754,25407.0,13704.0,26560.0,12918.0,30165.0,11177.0,0.711,14000.0,2342.0,1150.0
22.0,University,38677,24.0,27943.0,MS,145,3.6,2.8,23554,2.1,University of Mississippi,public,University of Mississippi,2,5,0.8391,18537.0,0.7784,0.1275,0.0337,0.0174,0.0029,0.001,0.0224,0.0164,0.0004,0.0634,23606.0,8300.0,23564.0,10700.0,13357.0,8985.0,0.8219,13929.0,996.0,1225.0
25.0,Richardson,75080,28.0,37028.0,TX,145,,3.1,33654,2.6,University of Texas--Dallas,public,The University of Texas at Dallas,1,6,0.7603,18375.0,0.3423,0.0581,0.1831,0.3101,0.0019,0.002,0.0426,0.0395,0.0204,0.1687,24154.0,11528.0,29656.0,11493.0,10283.0,12831.0,0.7299,14763.0,1365.0,1340.0
22.0,Garden City,11530,,,NY,151,3.6,2.1,37170,,Adelphi University,private,Adelphi University,1,2,0.7312,5162.0,0.5149,0.0901,0.168,0.1083,0.0015,0.0002,0.0219,0.0308,0.0643,0.0589,48521.0,37170.0,37170.0,23797.0,13369.0,12223.0,0.3231,28322.0,845.0,1164.0
24.0,Melbourne,32901,,,FL,151,3.6,,41240,2.1,Florida Institute of Technology,private,Florida Institute of Technology,1,5,0.6346,3395.0,0.4533,0.0607,0.0869,0.0274,0.0021,0.0041,0.0227,0.3184,0.0244,0.0392,57119.0,41240.0,41240.0,22647.0,12134.0,9446.0,0.9446,31592.0,389.0,1243.0
21.0,Athens,45701,,,OH,151,3.5,2.7,21360,2.3,Ohio University,public,Ohio University-Main Campus,6,3,0.7393,22936.0,0.8322,0.0562,0.0296,0.0108,0.0022,0.0006,0.035,0.0177,0.0157,0.2322,27272.0,11896.0,21360.0,11250.0,11004.0,8978.0,0.7334,21892.0,2695.0,1183.0
21.0,Seattle,98119,,,WA,151,3.5,2.1,40893,2.9,Seattle Pacific University,private,Seattle Pacific University,1,8,0.9087,2900.0,0.5538,0.0397,0.1155,0.1162,0.0028,0.0093,0.0872,0.0541,0.0214,0.0403,54315.0,40893.0,40893.0,20395.0,11877.0,8644.0,0.5492,30299.0,474.0,1173.0
22.0,Albany,12222,,,NY,151,3.2,2.8,24358,,University at Albany--SUNY,public,SUNY at Albany,1,2,0.5401,13320.0,0.4501,0.1848,0.1712,0.0827,0.0019,0.0014,0.0314,0.0548,0.0219,0.0463,24742.0,9490.0,24370.0,7466.0,14648.0,9202.0,0.5668,18093.0,1828.0,1173.0
21.0,Stillwater,74078,,,OK,156,3.5,2.9,23776,2.6,Oklahoma State University,public,Oklahoma State University-Main Campus,1,6,0.7428,20743.0,0.6773,0.0459,0.0754,0.0179,0.0452,0.001,0.0997,0.0353,0.0023,0.125,22868.0,8738.0,23776.0,10258.0,9155.0,8930.0,0.8724,14824.0,1565.0,1206.0
24.0,Lowell,1854,,,MA,156,3.6,2.4,31865,2.3,University of Massachusetts--Lowell,public,University of Massachusetts-Lowell,1,1,0.6883,13284.0,0.6165,0.0586,0.1125,0.1039,0.0015,0.0005,0.0299,0.038,0.0387,0.216,27313.0,14800.0,31865.0,13295.0,11575.0,11628.0,0.561,19322.0,1068.0,1227.0
22.0,Kingston,2881,,,RI,156,3.5,2.6,28874,2.4,University of Rhode Island,public,University of Rhode Island,1,1,0.7006,14008.0,0.7266,0.0536,0.0978,0.0317,0.0019,0.0006,0.0271,0.0144,0.0462,0.1011,27834.0,13792.0,30042.0,13442.0,8692.0,10450.0,0.6722,19431.0,1191.0,1152.0
21.0,La Mirada,90639,,,CA,159,3.5,,38448,,Biola University,private,Biola University,1,8,0.7198,4039.0,0.4617,0.0235,0.2144,0.1788,0.0012,0.004,0.0587,0.027,0.0307,0.0396,51154.0,38448.0,38448.0,22311.0,11588.0,9299.0,1.0,31492.0,592.0,1186.0
21.0,Normal,61790,,,IL,159,3.4,2.4,25168,,Illinois State University,public,Illinois State University,1,3,0.8913,18264.0,0.7502,0.0861,0.104,0.0211,0.0016,0.0011,0.0286,0.0046,0.0027,0.0616,28197.0,14061.0,25168.0,11552.0,15761.0,7979.0,0.7675,21345.0,2496.0,1165.0
21.0,Birmingham,35294,,,AL,159,3.7,2.8,23790,2.2,University of Alabama--Birmingham,public,University of Alabama at Birmingham,1,5,0.9181,12866.0,0.5784,0.2585,0.0333,0.0588,0.0033,0.0002,0.0408,0.0195,0.0072,0.2515,24129.0,8328.0,19032.0,11612.0,17235.0,10640.0,0.8993,17535.0,1120.0,1195.0
21.0,Honolulu,96822,,,HI,159,3.5,2.8,33764,2.2,University of Hawaii--Manoa,public,University of Hawaii at Manoa,1,8,0.8315,12583.0,0.1702,0.0148,0.1144,0.3927,0.0016,0.0288,0.2476,0.0285,0.0015,0.1616,23007.0,11754.0,33786.0,11326.0,22317.0,11786.0,0.77,15296.0,667.0,1154.0
20.0,La Verne,91750,,,CA,159,3.5,,41450,,University of La Verne,private,University of La Verne,1,8,0.4754,5120.0,0.208,0.0588,0.5215,0.0506,0.0035,0.0057,0.0377,0.0326,0.0816,0.2697,52724.0,41450.0,41450.0,19899.0,9077.0,9079.0,0.3772,25429.0,435.0,1106.0
24.0,Baltimore,21250,,,MD,159,,,25654,2.4,University of Maryland--Baltimore County,public,University of Maryland-Baltimore County,1,2,0.6021,11130.0,0.4109,0.1818,0.0739,0.2156,0.0021,0.0013,0.0433,0.0389,0.0323,0.144,24503.0,11518.0,25654.0,9968.0,11426.0,9982.0,0.6855,20539.0,759.0,1255.0
18.0,Immaculata,19345,,,PA,165,3.3,,27350,,Immaculata University,private,Immaculata University,1,2,0.8294,1383.0,0.7115,0.1562,0.0665,0.0239,0.0007,0.0007,0.0202,0.0101,0.0101,0.3608,53064.0,27350.0,27350.0,15681.0,7506.0,4907.0,1.0,31971.0,190.0,1053.0
22.0,St Louis,63141,,,MO,165,3.6,,28470,,Maryville University of St. Louis,private,Maryville University of Saint Louis,1,4,0.9188,3112.0,0.7224,0.0839,0.0386,0.0283,0.0029,0.0013,0.0283,0.0437,0.0508,0.2368,43329.0,28470.0,28470.0,13141.0,6296.0,8126.0,0.2204,23891.0,349.0,1176.0
25.0,Rolla,65409,,,MO,165,3.6,2.1,27701,2.9,Missouri University of Science & Technology,public,Missouri University of Science and Technology,1,4,0.8351,6872.0,0.8108,0.031,0.037,0.0357,0.0031,0.0001,0.029,0.0335,0.0199,0.1103,22045.0,9246.0,25918.0,11853.0,14144.0,10365.0,0.7698,14473.0,735.0,1323.0
22.0,Queens,11439,,,NY,165,3.5,2.5,40790,,St. John's University,private,St. John's University-New York,1,2,0.6773,11756.0,0.3983,0.1722,0.0752,0.1604,0.0061,0.0038,0.0537,0.0517,0.0786,0.0216,51401.0,40520.0,40520.0,20692.0,11030.0,12336.0,0.4483,25747.0,2292.0,1171.0
18.0,Merced,95343,,,CA,165,3.5,,41612,2.1,University of California--Merced,public,University of California-Merced,1,8,0.6979,7375.0,0.1024,0.0461,0.5325,0.1982,0.0016,0.0068,0.0325,0.074,0.0058,0.0106,34331.0,13598.0,41612.0,9245.0,9497.0,10591.0,0.898,13226.0,1625.0,1114.0
22.0,Louisville,40292,,,KY,165,3.5,2.8,26286,2.3,University of Louisville,public,University of Louisville,1,5,0.753,14550.0,0.7314,0.1128,0.0474,0.0382,0.0012,0.0004,0.0544,0.0129,0.0013,0.1777,25728.0,11264.0,26286.0,11940.0,16438.0,8791.0,0.6855,16721.0,1400.0,1211.0
21.0,Mississippi State,39762,,,MS,171,3.4,2.6,22358,2.4,Mississippi State University,public,Mississippi State University,1,5,0.624,17723.0,0.7209,0.1992,0.0275,0.0125,0.0047,0.0008,0.0177,0.0121,0.0045,0.0774,23483.0,8318.0,22358.0,7794.0,8159.0,8569.0,0.8638,16192.0,1394.0,1195.0
,Glassboro,8028,,,NJ,171,3.5,2.2,21378,3.3,Rowan University,public,Rowan University,1,2,0.6942,15089.0,0.6619,0.1021,0.1012,0.0452,0.0014,0.0011,0.0283,0.0075,0.0513,0.1001,28787.0,13422.0,21890.0,11610.0,13594.0,8812.0,0.4676,23692.0,1617.0,1164.0
24.0,Orlando,32816,,,FL,171,3.9,2.7,22467,2.6,University of Central Florida,public,University of Central Florida,1,5,0.499,56366.0,0.4929,0.1124,0.2645,0.061,0.0017,0.0021,0.0395,0.0183,0.0077,0.2959,20950.0,6368.0,22467.0,5720.0,7050.0,9881.0,0.9724,15286.0,3101.0,1249.0
21.0,Moscow,83844,,,ID,171,3.4,2.6,23812,2.2,University of Idaho,public,University of Idaho,1,7,0.7309,7685.0,0.7405,0.0122,0.1068,0.0138,0.0068,0.0029,0.0428,0.0501,0.0241,0.0704,20444.0,7488.0,23812.0,8772.0,11464.0,8963.0,0.8311,14457.0,848.0,1127.0
21.0,Richmond,23284,,,VA,171,3.6,2.7,32942,2.3,Virginia Commonwealth University,public,Virginia Commonwealth University,1,5,0.839,22393.0,0.4655,0.194,0.093,0.1325,0.0021,0.0014,0.0648,0.0335,0.0131,0.1132,29339.0,13624.0,33656.0,11950.0,14770.0,9138.0,0.6906,21655.0,2382.0,1168.0
21.0,Kent,44242,,,OH,176,3.4,2.6,18376,,Kent State University,public,Kent State University at Kent,8,3,0.8751,22403.0,0.7474,0.0878,0.0363,0.0161,0.0017,0.0005,0.0389,0.0453,0.0259,0.1552,24064.0,10012.0,18544.0,9987.0,8971.0,8972.0,0.5578,18432.0,2540.0,1142.0
21.0,Moon Township,15108,,,PA,176,3.5,2.1,29420,2.4,Robert Morris University,private,Robert Morris University,1,2,0.8332,4213.0,0.7318,0.0591,0.023,0.0104,0.0007,0.0012,0.0318,0.1192,0.0228,0.0888,43630.0,29420.0,29420.0,19210.0,8590.0,11599.0,1.0,25996.0,713.0,1127.0
22.0,Lubbock,79409,,,TX,176,3.5,2.8,23011,2.6,Texas Tech University,public,Texas Tech University,1,6,0.6918,30330.0,0.558,0.0605,0.2775,0.0247,0.0033,0.0011,0.0184,0.0519,0.0045,0.1005,22615.0,8860.0,18652.0,9263.0,7193.0,8928.0,0.8819,17134.0,2248.0,1176.0
23.0,Jackson,38305,,,TN,176,,,31580,2.7,Union University,private,Union University,1,5,0.5998,2099.0,0.7318,0.1872,0.021,0.0195,0.0091,0.0005,0.0,0.021,0.01,0.2382,49158.0,31510.0,31510.0,14565.0,11391.0,7378.0,0.5899,22839.0,203.0,1243.0
20.0,West Hartford,6117,,,CT,176,,2.4,38910,2.8,University of Hartford,private,University of Hartford,1,1,0.8089,4835.0,0.5495,0.1506,0.1295,0.0354,0.0025,0.0006,0.0372,0.0563,0.0385,0.078,52365.0,38910.0,38910.0,17473.0,14465.0,7841.0,0.4032,30440.0,1002.0,1140.0
21.0,Madison,53711,,,WI,181,3.4,,28500,,Edgewood College,private,Edgewood College,1,3,0.7111,1521.0,0.7876,0.0302,0.0625,0.0289,0.0026,0.002,0.0256,0.0329,0.0276,0.1105,40472.0,28500.0,28500.0,18798.0,9432.0,6049.0,0.5672,24228.0,204.0,1145.0
21.0,Cambridge,2138,,,MA,181,3.3,,26550,,Lesley University,private,Lesley University,1,1,0.7261,2074.0,0.6292,0.0776,0.1254,0.0463,0.001,0.0005,0.041,0.0289,0.0501,0.2126,43407.0,26675.0,26675.0,19054.0,10971.0,8453.0,0.2405,31401.0,308.0,1123.0
22.0,Nashville,37204,,,TN,181,3.6,,30932,2.5,Lipscomb University,private,Lipscomb University,1,5,0.6043,2973.0,0.7629,0.0683,0.0683,0.0309,0.0017,0.0007,0.0272,0.0289,0.0111,0.0844,43623.0,30932.0,30932.0,19107.0,11232.0,7619.0,0.4825,24279.0,362.0,1239.0
20.0,Boston,2108,,,MA,181,3.2,2.2,37270,2.0,Suffolk University,private,Suffolk University,1,1,0.8355,4952.0,0.4653,0.0551,0.1189,0.0765,0.0014,0.0006,0.0226,0.2229,0.0366,0.0384,51164.0,37270.0,37270.0,24023.0,10008.0,11747.0,0.5231,30126.0,796.0,1102.0
21.0,Orono,4469,,,ME,181,3.2,2.4,30282,2.2,University of Maine,public,University of Maine,1,1,0.9226,8836.0,0.8425,0.0207,0.0362,0.0151,0.0098,0.0,0.0323,0.0189,0.0246,0.0764,23262.0,10902.0,30282.0,10635.0,9922.0,9218.0,0.6446,17074.0,919.0,1157.0
21.0,Laramie,82071,,,WY,181,3.5,2.5,16827,2.2,University of Wyoming,public,University of Wyoming,1,7,0.9682,9623.0,0.7145,0.0109,0.0725,0.0113,0.005,0.0017,0.0394,0.0418,0.1029,0.1397,19615.0,5217.0,16827.0,5188.0,15889.0,9440.0,0.9754,13070.0,377.0,1195.0
21.0,Azusa,91702,,,CA,187,3.7,,36120,,Azusa Pacific University,private,Azusa Pacific University,2,8,0.6012,5560.0,0.395,0.0531,0.3232,0.0932,0.0022,0.0106,0.0786,0.0277,0.0165,0.1061,49911.0,37506.0,37506.0,18252.0,9028.0,8201.0,0.3264,27267.0,726.0,1131.0
20.0,Muncie,47306,,,IN,187,3.5,2.6,25938,,Ball State University,public,Ball State University,1,3,0.6208,16277.0,0.7946,0.0843,0.0492,0.0118,0.0002,0.001,0.033,0.0145,0.0114,0.0706,23468.0,9774.0,25942.0,8484.0,10886.0,7561.0,0.7978,15187.0,2507.0,1138.0
15.0,Montclair,7043,,,NJ,187,3.2,2.2,20566,,Montclair State University,public,Montclair State University,1,2,0.7066,16673.0,0.4146,0.1294,0.2787,0.0589,0.0008,0.0025,0.0296,0.0139,0.0716,0.1104,25517.0,12455.0,20567.0,9372.0,9764.0,9933.0,0.3533,18500.0,2212.0,1070.0
21.0,New York,10038,,,NY,187,3.3,2.6,44036,,Pace University,private,Pace University,1,2,0.7956,8456.0,0.5102,0.108,0.1302,0.0796,0.0024,0.0007,0.0412,0.1045,0.0233,0.0734,60221.0,43986.0,43986.0,21644.0,10757.0,12333.0,1.0,29588.0,1302.0,1144.0
21.0,Morgantown,26506,,,WV,187,3.5,2.6,23616,2.4,West Virginia University,public,West Virginia University,3,5,0.719,21705.0,0.7883,0.0448,0.0363,0.0149,0.0012,0.0008,0.0411,0.0702,0.0024,0.0457,20702.0,8376.0,23616.0,13260.0,10755.0,9761.0,0.767,11825.0,1470.0,1159.0
21.0,Berrien Springs,49104,,,MI,192,3.5,,28436,,Andrews University,private,Andrews University,1,3,0.5766,1439.0,0.2669,0.1925,0.1411,0.1459,0.0028,0.0035,0.0431,0.1779,0.0264,0.0806,38316.0,28436.0,28436.0,15226.0,12945.0,4805.0,0.9504,21460.0,173.0,1203.0
19.0,Indianapolis,46202,,,IN,192,3.5,,29806,2.5,Indiana University-Purdue University--Indianapolis,public,Indiana University-Purdue University-Indianapolis,1,3,0.7965,20870.0,0.6956,0.0939,0.0748,0.0434,0.001,0.0007,0.0436,0.0416,0.0055,0.1645,20352.0,9334.0,29806.0,11325.0,16407.0,8369.0,0.5671,12021.0,2615.0,1104.0
23.0,Houston,77204,,,TX,192,,2.9,27337,2.6,University of Houston,public,University of Houston,1,6,0.6111,35985.0,0.2367,0.0994,0.3478,0.2233,0.0011,0.0019,0.0334,0.0409,0.0156,0.2565,24678.0,9706.0,22066.0,10427.0,7877.0,11419.0,0.8517,16392.0,2348.0,1202.0
19.0,Albuquerque,87131,,,NM,192,3.4,2.7,22412,2.6,University of New Mexico,public,University of New Mexico-Main Campus,5,6,0.6704,18912.0,0.3249,0.0243,0.4856,0.0389,0.0567,0.0019,0.0351,0.0197,0.0128,0.212,18937.0,7448.0,22038.0,5545.0,12764.0,8954.0,0.7089,14315.0,1127.0,1103.0
21.0,Grand Forks,58202,,,ND,192,3.4,2.4,21462,,University of North Dakota,public,University of North Dakota,1,4,0.8348,10351.0,0.8136,0.0242,0.035,0.0167,0.0124,0.0008,0.0344,0.049,0.014,0.1788,19670.0,8447.0,20047.0,10757.0,17641.0,8396.0,0.928,15056.0,454.0,1165.0
21.0,Chester,19013,,,PA,192,3.5,2.0,44166,2.5,Widener University,private,Widener University,1,2,0.6543,3224.0,0.7087,0.1303,0.0481,0.0394,0.0016,0.0003,0.0316,0.0242,0.0158,0.0996,57523.0,44166.0,44166.0,19001.0,12193.0,8458.0,0.4253,30017.0,613.0,1104.0
18.0,Las Cruces,88003,,,NM,198,3.5,2.4,22701,2.3,New Mexico State University,public,New Mexico State University-Main Campus,5,6,0.6384,11173.0,0.2704,0.0278,0.5919,0.0116,0.0213,0.0014,0.0207,0.0447,0.0102,0.1353,17124.0,6461.0,21022.0,4583.0,10678.0,8503.0,0.753,8625.0,885.0,1043.0
21.0,Fargo,58108,,,ND,198,3.4,2.2,20571,2.0,North Dakota State University,public,University of North Dakota,1,4,0.8348,10351.0,0.8136,0.0242,0.035,0.0167,0.0124,0.0008,0.0344,0.049,0.014,0.1788,19670.0,8447.0,20047.0,10757.0,17641.0,8396.0,0.928,15056.0,454.0,1165.0
22.0,Ft. Lauderdale,33314,,,FL,198,,,29940,,Nova Southeastern University,private,Nova Southeastern University,1,5,0.5817,4417.0,0.343,0.1485,0.2735,0.0998,0.002,0.0014,0.0301,0.0632,0.0385,0.2866,45722.0,29880.0,29930.0,28175.0,16553.0,9799.0,0.3932,26606.0,473.0,1201.0
22.0,Charlotte,28223,,,NC,198,3.9,2.8,20268,2.6,University of North Carolina--Charlotte,public,University of North Carolina at Charlotte,1,5,0.6584,23622.0,0.5769,0.1636,0.0967,0.0656,0.0034,0.0012,0.045,0.0251,0.0225,0.1283,21882.0,6832.0,20266.0,8060.0,9534.0,9615.0,0.7122,16286.0,2087.0,1187.0
20.0,Bowling Green,43403,,,OH,202,3.4,2.5,18593,,Bowling Green State University,public,Bowling Green State University-Main Campus,2,3,0.732,13790.0,0.7824,0.0913,0.0419,0.0092,0.0015,0.0006,0.0333,0.0189,0.0209,0.0553,23772.0,11057.0,18593.0,9154.0,9390.0,8821.0,0.6988,19128.0,2257.0,1088.0
19.0,Fullerton,92831,,,CA,202,3.6,2.6,17460,2.8,California State University--Fullerton,public,California State University-Fullerton,1,8,0.4572,35045.0,0.191,0.0186,0.4334,0.2122,0.0011,0.0017,0.043,0.0619,0.037,0.1889,17529.0,6850.0,18730.0,5693.0,7101.0,9747.0,0.4799,8737.0,2716.0,1096.0
19.0,Dallas,75211,,,TX,202,3.7,,27480,,Dallas Baptist University,private,Dallas Baptist University,1,6,0.3942,3053.0,0.6063,0.1258,0.1654,0.0203,0.0085,0.0026,0.0,0.0711,0.0,0.2191,37754.0,27480.0,27480.0,17479.0,9816.0,8205.0,1.0,25334.0,289.0,1122.0
21.0,Boston,2125,,,MA,202,3.3,2.6,32985,,University of Massachusetts--Boston,public,University of Massachusetts-Boston,1,1,0.7515,12159.0,0.3371,0.1675,0.1568,0.1324,0.0018,0.0002,0.0307,0.1181,0.0553,0.2236,21777.0,13828.0,32985.0,13920.0,14654.0,10965.0,0.6155,12292.0,985.0,1107.0
21.0,Reno,89557,,,NV,202,3.6,2.3,21787,2.2,University of Nevada--Reno,public,University of Nevada-Reno,1,8,0.8803,17930.0,0.5759,0.033,0.2079,0.0789,0.0073,0.0057,0.0677,0.0095,0.0142,0.1331,21142.0,7599.0,21788.0,7137.0,14571.0,9979.0,0.9689,14505.0,1321.0,1165.0
20.0,Mount Pleasant,48859,,,MI,207,3.4,2.3,23670,2.6,Central Michigan University,public,Central Michigan University,1,3,0.6775,17489.0,0.7772,0.0883,0.0461,0.0113,0.0079,0.0006,0.0367,0.0194,0.0125,0.1153,23328.0,12510.0,23670.0,10425.0,8551.0,9030.0,0.6977,15531.0,2795.0,1125.0
20.0,Greenville,27858,,,NC,207,3.8,2.2,23420,2.5,East Carolina University,public,East Carolina University,1,5,0.7902,22598.0,0.6692,0.1598,0.0669,0.0264,0.0069,0.0012,0.0381,0.0054,0.026,0.1168,21102.0,7143.0,23420.0,7422.0,11707.0,8754.0,0.7702,15415.0,2479.0,1105.0
19.0,Tallahassee,32307,,,FL,207,3.5,,17725,2.3,Florida A&M University,public,Florida Agricultural and Mechanical University,1,5,0.4563,7552.0,0.033,0.8931,0.0267,0.004,0.0007,0.0,0.0342,0.0083,0.0,0.0927,22235.0,5785.0,17725.0,4537.0,8896.0,8077.0,0.9941,14279.0,865.0,1044.0
21.0,Bozeman,59717,,,MT,207,3.4,2.3,23042,2.2,Montana State University,public,Montana State University,1,7,0.8311,14383.0,0.8456,0.0047,0.0416,0.0096,0.0136,0.0011,0.0431,0.0276,0.0131,0.1448,19980.0,7079.0,24071.0,10272.0,7962.0,8705.0,0.6134,17754.0,913.0,1195.0
19.0,Fairbanks,99775,,,AK,207,3.3,2.2,23534,2.1,University of Alaska--Fairbanks,public,University of Alaska Fairbanks,1,8,0.767,4910.0,0.4945,0.0277,0.0727,0.0196,0.1403,0.0049,0.0786,0.0112,0.1505,0.4029,17168.0,6262.0,19183.0,7960.0,16643.0,9617.0,0.6036,9988.0,232.0,1094.0
21.0,Denver,80217,,,CO,207,3.4,2.9,31209,2.2,University of Colorado--Denver,public,University of Colorado Denver/Anschutz Medical Campus,1,7,0.6522,11531.0,0.4808,0.0526,0.2148,0.0985,0.0036,0.001,0.0556,0.0772,0.0159,0.2513,21105.0,9107.0,25259.0,14337.0,30280.0,10326.0,0.6724,14941.0,708.0,1179.0
20.0,North Dartmouth,2747,,,MA,207,3.2,2.6,28285,2.2,University of Massachusetts--Dartmouth,public,University of Massachusetts-Dartmouth,1,1,0.8427,6559.0,0.6105,0.1569,0.0979,0.0364,0.0018,0.0,0.0367,0.0213,0.0384,0.1229,26536.0,13571.0,28285.0,10143.0,12425.0,10844.0,0.6856,18899.0,1014.0,1097.0
20.0,Missoula,59812,,,MT,207,3.3,2.6,24943,,University of Montana,public,The University of Montana,2,7,0.9264,8958.0,0.787,0.0109,0.0471,0.0119,0.033,0.0023,0.045,0.0148,0.0478,0.1749,18490.0,7063.0,24943.0,8309.0,9899.0,7608.0,0.7253,15006.0,687.0,1165.0
19.0,Kalamazoo,49008,,,MI,207,3.3,2.5,14699,,Western Michigan University,public,Western Michigan University,1,3,0.8232,17704.0,0.7062,0.123,0.0612,0.0182,0.0043,0.001,0.0374,0.0418,0.0069,0.1519,24357.0,11943.0,14699.0,12351.0,11914.0,9751.0,0.6262,17259.0,1850.0,1103.0
23.0,Miami,33199,,,FL,216,3.9,2.6,18956,2.1,Florida International University,public,Florida International University,1,5,0.5407,41834.0,0.0883,0.1224,0.6696,0.0241,0.0007,0.0008,0.0271,0.0627,0.0043,0.3735,19055.0,6556.0,18954.0,6406.0,7565.0,10225.0,0.9829,12503.0,3231.0,1172.0
21.0,Ruston,71272,,,LA,216,3.7,2.3,18438,2.2,Louisiana Tech University,public,Louisiana Tech University,1,5,0.6484,8067.0,0.7077,0.1294,0.0379,0.013,0.004,0.0006,0.0289,0.0193,0.0591,0.0604,19225.0,9645.0,18558.0,7570.0,5576.0,7277.0,0.8134,10774.0,1028.0,1195.0
20.0,Brookings,57007,,,SD,216,3.4,,11403,,South Dakota State University,public,South Dakota State University,1,4,0.9137,9704.0,0.87,0.0199,0.0237,0.0092,0.0089,0.0004,0.0224,0.0434,0.0023,0.1335,22410.0,8441.0,11689.0,8479.0,8731.0,8135.0,0.8075,19415.0,801.0,1144.0
19.0,Carbondale,62901,,,IL,216,3.1,2.5,13936,2.0,Southern Illinois University--Carbondale,public,Southern Illinois University-Carbondale,1,3,0.7601,10896.0,0.6509,0.1626,0.0887,0.0172,0.0028,0.001,0.0363,0.0394,0.0011,0.1362,27119.0,13932.0,28107.0,9414.0,17879.0,7669.0,0.8214,17175.0,1211.0,1143.0
25.0,Huntsville,35899,,,AL,216,3.8,2.5,21480,2.4,University of Alabama--Huntsville,public,University of Alabama in Huntsville,1,5,0.8123,6917.0,0.7415,0.1073,0.0463,0.0402,0.011,0.001,0.0259,0.024,0.0029,0.1496,22108.0,10280.0,21480.0,8727.0,9748.0,9391.0,0.6457,19986.0,485.0,1322.0
21.0,Kansas City,64110,,,MO,216,3.4,2.6,25999,,University of Missouri--Kansas City,public,University of Missouri-Kansas City,1,4,0.6415,7854.0,0.5656,0.1367,0.0975,0.0802,0.0022,0.0013,0.0371,0.0512,0.0283,0.1513,21120.0,8011.0,19793.0,11706.0,13714.0,8855.0,0.6272,14897.0,721.0,1197.0
20.0,Logan,84322,,,UT,216,3.5,2.5,20726,2.4,Utah State University,public,Utah State University,1,7,0.8908,21473.0,0.8195,0.0086,0.0594,0.0107,0.0189,0.0036,0.0227,0.0105,0.0462,0.2064,17671.0,7870.0,21520.0,6286.0,9489.0,9058.0,0.9583,13279.0,1333.0,1177.0
